wbic,elevation,area,elevation_ned,depth_ned,longitude,latitude,perimeter
1063500,507.8265,3767.25,507.8265,0,-89.53233,45.3712,268.172
1063600,496.1104,10698.11,499.6778,3.5674,-89.49568,45.36421,420.034
1063700,536.0753,21009.68,537.4423,1.367,-89.30096,45.37552,543.601
1063800,538.7421,12887.67,538.7856,0.0435,-89.30388,45.37488,494.812
1063900,529.2074,436.32,529.2074,0,-89.30928,45.37513,76.78
1064400,510.8173,8272.56,515.0563,4.239,-89.18431,45.36588,429.697
1064500,524.8517,763.97,524.8517,0,-89.24549,45.37414,108.802
1064600,523.7729,3230.3,524.1553,0.3824,-89.25046,45.374,218.61
1064800,526.1024,6945.13,526.2464,0.144,-89.25602,45.37119,387.465
1064900,514.2207,4522.19,515.6146,1.3939,-89.25282,45.36694,273.715
1065100,523.0316,6767.29,525.0261,1.9945,-89.26007,45.37505,327.721
1065200,523.4702,3731.92,523.4792,0.009,-89.26365,45.37243,248.988
1065300,523.1406,861.15,523.1406,0,-89.25941,45.37275,106.742
1065400,536.1221,34786.82,536.1279,0.0058,-89.27504,45.37937,778.816
1065500,536.7085,6712.58,536.7454,0.0369,-89.29604,45.37413,313.975
1065600,536.1412,24516.48,536.4814,0.3402,-89.29955,45.37398,1007.054
1065700,542.0871,550,542.0871,0,-89.2886,45.37049,98.546
1065900,533.1147,1035.52,533.3004,0.1857,-89.2971,45.36659,125.562
1065950,523.7106,767.03,523.7106,0,-89.28136,45.36413,104.144
1066000,512.2183,702.56,512.2183,0,-89.24432,45.35689,100.772
1066100,516.0966,6996.6,517.4475,1.3509,-89.24745,45.3535,346.516
1066200,513.985,28855.23,514.4288,0.4438,-89.25511,45.35455,942.98
1066300,515.413,9872.02,518.8169,3.4039,-89.22753,45.3621,407.618
1066400,515.5137,6428.42,518.0109,2.4972,-89.22205,45.35669,359.644
1066600,517.4412,1757.97,517.4412,0,-89.23779,45.36048,183.601
1066700,522.4102,11125.72,523.5317,1.1215,-89.22679,45.35452,403.914
1066900,509.381,2219.71,515.0563,5.6753,-89.18476,45.36457,190.583
1067000,511.0438,31133.84,513.1368,2.093,-89.18409,45.35863,783.963
1067100,511.1728,3735.54,511.5348,0.362,-89.18812,45.33953,228.808
1067200,509.76,9815.1,510.1453,0.3853,-89.19351,45.3376,445.964
1067300,510.0639,60107.24,511.2557,1.1918,-89.20206,45.34717,2403.709
1067400,508.5623,15503.29,509.9529,1.3906,-89.20013,45.34386,508.884
1067500,511.952,2325.96,512.7836,0.8316,-89.20766,45.3459,200.385
1067600,509.3976,839.75,509.4789,0.0813,-89.2054,45.34268,112.962
1067700,509.5308,5963.1,510.281,0.7502,-89.19897,45.33795,309.402
1067800,514.0952,10669.76,515.4038,1.3086,-89.2201,45.34541,417.318
1067900,511.6094,36184.27,512.1094,0.5,-89.2276,45.34718,1211.62
1068000,508.0826,5908.38,508.0963,0.0137,-89.2406,45.34803,303.827
1068100,507.7357,3115.06,507.9171,0.1814,-89.2461,45.34399,203.781
1068200,506.9409,20357.39,508.1563,1.2154,-89.25231,45.34326,617.341
1068300,505.6861,11106.01,505.7516,0.0655,-89.24153,45.33903,388.416
1068400,508.9666,11023.76,508.9666,0,-89.24825,45.3413,450.423
1068600,514.231,1725.9,514.4255,0.1945,-89.26649,45.34734,149.696
1068700,511.4736,1022.19,512.0642,0.5906,-89.26718,45.3416,130.279
1068800,505.1732,3554.87,505.2742,0.101,-89.24235,45.33449,218.747
1068900,505.6905,58346.8,505.7586,0.0681,-89.24453,45.33277,1318.548
1069000,512.0772,4159.45,512.0859,0.0087,-89.25191,45.33375,254.719
