lakeid,cuvette_use,a254_10,a280_10,a300_10,a320_10,a365_10,a400_10,a420_10,a440_10,a254_a365_10,S_10,a254_1,a280_1,a300_1,a320_1,a365_1,a400_1,a420_1,a440_1,a254_a365_1,S
2782200,10,43.85046726,33.0980251,24.61043375,18.0942104,8.683547863,4.898481,3.71370265,2.8766773,5.049833081,14.43287171,-23.09943545,-17.716979,-14.3189025,-12.141416,-7.645096375,-4.51388,-3.4648635,-2.600087,3.021470799,#NUM!
1867700,10,43.92854471,32.67208525,24.10981913,17.880492,8.870076469,4.9157535,3.607937375,2.69393425,4.952442616,15.13883802,45.08980368,33.2426535,24.25346875,18.096974,9.052373313,4.985995,3.64277025,2.7371155,4.980992511,15.14652231
2316800,10,44.38403205,32.36256205,23.15637713,16.8473662,8.092929119,4.3446095,3.139046575,2.29966065,5.484297638,15.98085111,45.63780253,32.7336905,23.11924125,16.844142,7.958736188,4.156915,2.97144575,2.1314265,5.734302715,16.78077704
2020500,10,44.63684964,32.6056437,22.57688475,16.0440798,7.689457913,4.186854,3.03155405,2.1940681,5.804941017,16.23633737,44.99987153,32.2730905,22.03683125,15.623552,7.331168688,3.857525,2.69508575,1.9471865,6.138157972,17.38797983
2002700,10,45.52514552,34.17456245,24.73047763,18.0430838,8.814401444,4.9802375,3.691075675,2.75887885,5.164859555,15.06670205,47.41911545,35.173719,25.2811825,18.497696,9.188106375,5.22781,3.9024335,2.968567,5.160923646,14.76141611
1568900,10,45.88313536,33.91869915,24.01021438,17.3604746,8.550448856,4.6163635,3.307280725,2.38740495,5.366166868,16.21512847,47.06491405,34.445971,24.2448325,17.429104,8.519084875,4.62903,3.3174715,2.420453,5.524644342,16.15172187
1606400,10,46.29018633,34.30841674,25.3522592,18.91896814,9.975963223,5.961036003,4.656696148,3.642542635,4.640172111,13.28602649,47.32452779,34.66947358,25.40512555,18.9958046,10.03927891,6.003937869,4.679744846,3.692548438,4.713936948,13.19010233
1600000,10,46.45715811,33.55482515,23.12010488,16.3540636,7.934108481,4.5242435,3.400552225,2.59237195,5.855372184,14.98451092,47.71228735,33.828767,23.1969675,16.365118,7.764276625,4.58297,3.4395305,2.595481,6.145104001,15.13239517
1631700,10,46.81183162,34.17456245,23.73558163,16.8685538,8.018139194,4.3469125,3.119931675,2.27294585,5.838241329,16.26837078,48.28475558,34.7303915,23.91953375,17.115896,8.250353563,4.502365,3.24895725,2.3870595,5.852446833,15.88319678
1133400,10,47.7823331,35.5152539,26.31004775,19.6243236,9.752830763,5.494958,4.06467985,3.0673657,4.899329667,14.77796037,49.27762055,36.38339049,26.75346005,19.97500969,9.940425598,5.599901484,4.158592894,3.133059885,4.957294842,14.66524909
1127100,10,48.69893285,36.75208005,27.50213813,20.6265892,10.49841262,5.9682245,4.451756575,3.37285865,4.638694879,14.37062829,50.21086963,37.3949625,27.73675625,20.79609,10.66648844,6.022345,4.47069875,3.4257125,4.707347682,14.35111586
1172900,10,50.00509658,37.6114445,27.65960575,20.616456,10.46353656,5.985497,4.46494125,3.3957735,4.778986175,14.49313476,51.2293138,38.027136,27.75115,20.630274,10.3945905,5.94174,4.440184,3.376198,4.928459067,14.45287384
2312100,10,50.73456607,37.61593535,25.72019188,17.9928784,8.572500081,4.9134505,3.733566025,2.89682855,5.918292865,14.80544262,53.23948735,38.572947,26.0987475,18.391758,8.777596625,5.02054,3.8310405,3.056081,6.065383228,14.509149
2034000,10,51.00903185,38.457797,29.4657335,22.076558,10.96371938,5.983194,4.3722455,3.274866,4.652529867,15.1704535,51.4695167,37.764594,28.338415,21.123116,10.17407825,5.18175,3.608801,2.542512,5.058887443,17.02263086
