lakeid,lakename,year4,daynum,sampledate,rep,station,depth,wtemp,o2,cond,alk,chlor,phaeo,ph,doc,dic,totnuf,totpuf,suva,flag_wtemp,flag_o2,flag_o2sat,flag_cond,flag_alk,flag_chlor,flag_phaeo,flag_ph,flag_doc,flag_dic,flag_totnuf,flag_totpuf,flag_suva
"BP","Big Portage Lake",2001,186,2001-07-05,1,11,9.00,16.82,5.86,,,,,,,,,,,,,,,,,,,,,,,
"BP","Big Portage Lake",2001,186,2001-07-05,1,11,10.00,15.85,1.59,,,,,,,,,,,,,,,,,,,,,,,
"BP","Big Portage Lake",2001,186,2001-07-05,1,11,13.00,14.83,0.17,,,,,,,,,,,,,,,,,,,,,,,
"BP","Big Portage Lake",2001,186,2001-07-05,2,11,0.00,21.01,8.46,,,,,,,,319,8,,,,,,,"U","U",,,,,,
"BP","Big Portage Lake",2001,227,2001-08-15,1,11,3.00,22.75,8.10,,,,,,,,,,,,,,,,,,,,,,,
"BP","Big Portage Lake",2001,227,2001-08-15,1,11,4.00,22.74,8.11,,,,,,,,,,,,,,,,,,,,,,,
"BP","Big Portage Lake",2001,227,2001-08-15,1,11,5.00,22.74,8.11,,,,,,,,,,,,,,,,,,,,,,,
"BP","Big Portage Lake",2001,227,2001-08-15,1,11,6.00,22.74,8.10,,,,,,,,,,,,,,,,,,,,,,,
"BP","Big Portage Lake",2001,227,2001-08-15,1,11,7.00,22.69,8.10,,,,,,,,,,,,,,,,,,,,,,,
"BP","Big Portage Lake",2001,227,2001-08-15,1,11,8.00,21.24,2.25,,,,,,,,,,,,,,,,,,,,,,,
"BP","Big Portage Lake",2001,227,2001-08-15,2,11,1.00,22.75,8.11,,,,,,,,,,,,,,,,,,,,,,,
"BP","Big Portage Lake",2001,227,2001-08-15,2,11,2.00,22.75,8.11,,,,,,,,,,,,,,,,,,,,,,,
"BP","Big Portage Lake",2001,227,2001-08-15,2,11,4.00,22.74,8.09,,,,,,,,,,,,,,,,,,,,,,,
"BP","Big Portage Lake",2001,227,2001-08-15,2,11,5.00,22.73,8.08,,,,,,,,,,,,,,,,,,,,,,,
"BP","Big Portage Lake",2001,227,2001-08-15,2,11,7.00,22.64,7.93,,,,,,,,,,,,,,,,,,,,,,,
"BP","Big Portage Lake",2001,227,2001-08-15,2,11,9.00,20.99,1.34,,,,,,,,,,,,,,,,,,,,,,,
"BS","Big St Germain Lake",2001,183,2001-07-02,1,11,1.00,21.30,8.32,,,,,,,,,,,,,,,,,,,,,,,
"BS","Big St Germain Lake",2001,183,2001-07-02,1,11,4.00,21.30,8.15,,,,,,,,,,,,,,,,,,,,,,,
"BS","Big St Germain Lake",2001,183,2001-07-02,1,11,5.00,21.00,7.20,,,,,,,,,,,,,,,,,,,,,,,
"BS","Big St Germain Lake",2001,183,2001-07-02,1,11,7.00,17.10,0.82,,,,,,,,,,,,,,,,,,,,,,,
"BS","Big St Germain Lake",2001,183,2001-07-02,1,11,10.00,16.20,0.36,,,,,,,,,,,,,,,,,,,,,,,
"BS","Big St Germain Lake",2001,183,2001-07-02,1,11,11.00,16.00,0.24,,,,,,,,,,,,,,,,,,,,,,,
